0,5,11,5
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0200,0200,0200,0200,0100,0100,0000,0000,0000
