0,5,14,5
0020,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0000,0000
0020,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0000,0000,0000
0020,2002,0000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0000,0000,0000
0000,2000,2002,0000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0000,0000,0000
0000,0000,2000,0002,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,2000,2002,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,2000,0002,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,2000,0002,0000,0000,0000,0000,0000,0000,0000,2000,0000
0000,0000,0000,0000,0000,0000,2000,0002,0000,0000,0000,0000,0000,0000,2000,0000
0000,0000,0000,0000,0000,0000,0000,2000,0002,0000,0000,0000,0000,0000,2000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
